Blender 4.5.12 LTS (hash 84afd5f785f7 built 2026-07-21 01:33:53)
Read blend: "C:\Users\xdrhh\Documents\Codex\2026-09-18\codex-blender-mcp-blender-python-3d\outputs\Jiangnan.blend"
警告: 库文件, 加载空场景
Fra:80 Mem:351.76M (Peak 351.76M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.010
Fra:80 Mem:351.76M (Peak 351.76M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_墙脚勒石.001
帧:80 内存:351.87M (峰值 351.87M) | 时间:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.011
帧:80 内存:351.96M (峰值 351.96M) | 时间:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.012
帧:80 内存:352.05M (峰值 352.05M) | 时间:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.013
帧:80 内存:352.14M (峰值 352.14M) | 时间:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.014
帧:80 内存:352.23M (峰值 352.23M) | 时间:00:00.29 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.015
帧:80 内存:352.32M (峰值 352.32M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.016
帧:80 内存:352.42M (峰值 352.42M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.017
帧:80 内存:352.51M (峰值 352.51M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.018
帧:80 内存:352.60M (峰值 352.60M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.019
帧:80 内存:352.69M (峰值 352.69M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.020
帧:80 内存:352.78M (峰值 352.78M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.021
帧:80 内存:352.87M (峰值 352.87M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.022
帧:80 内存:352.96M (峰值 352.96M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.023
帧:80 内存:353.06M (峰值 353.06M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.024
帧:80 内存:353.15M (峰值 353.15M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.025
帧:80 内存:353.24M (峰值 353.24M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.026
帧:80 内存:353.33M (峰值 353.33M) | 时间:00:00.30 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.027
